parcelid,fips,tax_value,tax_amount,tax_rate
14634203,6059.0,289445.0,3490.16,0.012058111212838363
11721753,6037.0,205123.0,2627.48,0.012809290035734658
11289917,6037.0,136104.0,2319.9,0.017045053782401693
11637029,6037.0,810694.0,9407.01,0.01160365069927741
11705026,6037.0,35606.0,543.69,0.015269617480199968
14269464,6059.0,880456.0,9819.72,0.011152993448849232
11446756,6037.0,107110.0,1399.27,0.013063859583605638
11389003,6037.0,614000.0,7673.19,0.012497052117263843
11967869,6037.0,274237.0,3267.47,0.011914767153958072
11429175,6037.0,164269.0,2169.62,0.013207726351289653
11696784,6037.0,168828.0,2135.39,0.0126483166299429
14621355,6059.0,95442.0,998.18,0.010458498355021897
11743374,6037.0,519963.0,6444.87,0.012394862711385233
17295416,6111.0,239109.0,3209.98,0.01342475607358987
12870253,6037.0,465102.0,5627.16,0.012098765432098766
11460552,6037.0,899750.0,10783.39,0.011984873575993331
12035176,6037.0,245906.0,2926.19,0.011899628313257912
14236060,6059.0,196483.0,2376.34,0.012094379666434247
14671963,6059.0,510311.0,7975.18,0.01562807778002042
14365030,6059.0,605000.0,6185.28,0.010223603305785124
14008322,6059.0,141875.0,2015.78,0.014208140969162996
11552513,6037.0,486866.0,5990.5,0.012304206907033969
12535098,6037.0,388478.0,4784.07,0.012314905863395094
12443331,6037.0,272154.0,3307.31,0.012152347567921103
12955531,6037.0,344328.0,4136.13,0.012012180246741479
11391577,6037.0,31839.0,412.48,0.01295518075316436
13880422,6059.0,203480.0,2543.86,0.01250176921564773
12814323,6037.0,499402.0,5921.67,0.011857521595828611
10976131,6037.0,151340.0,2373.63,0.0156840888066605
14734602,6059.0,352000.0,4094.44,0.011631931818181819
13020886,6037.0,99891.0,1322.97,0.01324413610835811
12057023,6037.0,845708.0,9310.38,0.011008977093748668
13067643,6037.0,284000.0,3931.85,0.013844542253521126
11187927,6037.0,130679.0,2228.31,0.01705178337758936
11451345,6037.0,85692.0,1147.37,0.013389464594127804
10984661,6037.0,52560.0,777.51,0.014792808219178081
11367981,6037.0,164685.0,2169.02,0.013170719859124996
10858360,6037.0,501000.0,6060.61,0.012097025948103792
12607366,6037.0,277000.0,3186.6,0.011503971119133575
12532988,6037.0,348734.0,4161.1,0.011932016952749088
13071085,6037.0,397616.0,5284.09,0.013289430002816788
10732347,6037.0,115306.0,1613.84,0.013996149376441815
11577176,6037.0,557821.0,6432.67,0.011531781700581369
10722858,6037.0,373282.0,4619.79,0.012376139219142632
12114701,6037.0,374368.0,4406.57,0.011770690871014617
13083743,6037.0,259334.0,3345.78,0.012901432129994525
17086759,6111.0,62048.0,703.0,0.011329938112429086
13921492,6059.0,63338.0,974.9,0.015392023745618743
11969146,6037.0,44455.0,690.81,0.01553953436058936
12178305,6037.0,1150000.0,12741.62,0.011079669565217392
11289757,6037.0,217006.0,3221.12,0.014843460549477895
11961462,6037.0,46336.0,603.88,0.013032631215469614
12492881,6037.0,73054.0,1206.4,0.016513811700933557
11141309,6037.0,142745.0,2199.66,0.015409716627552628
12519794,6037.0,185483.0,2414.53,0.013017527212736479
14092694,6059.0,188730.0,2586.54,0.013704975361627722
10792511,6037.0,141277.0,1688.75,0.011953467301825492
10903921,6037.0,345877.0,4146.51,0.011988394718353635
11083106,6037.0,308910.0,3741.38,0.012111553526917226
12749741,6037.0,82374.0,1315.15,0.01596559594046665
11797465,6037.0,280000.0,3458.73,0.012352607142857143
12068159,6037.0,686000.0,7529.72,0.010976268221574345
11733550,6037.0,37019.0,532.7,0.014389907885140064
11433174,6037.0,113155.0,1502.03,0.013274093058194512
11917650,6037.0,257446.0,3366.73,0.013077422061325481
14012730,6059.0,80102.0,1148.76,0.014341214950937554
14648524,6059.0,158950.0,1580.44,0.009943000943692985
11830465,6037.0,219078.0,3108.41,0.014188599494244059
17165634,6111.0,94344.0,1082.46,0.011473543627575682
10811539,6037.0,708607.0,8760.58,0.01236310112657651
12048224,6037.0,466127.0,5151.64,0.01105200943090617
12693966,6037.0,370565.0,4742.48,0.012797970666414797
14010551,6059.0,382158.0,4781.2,0.012511055636673835
12347492,6037.0,465101.0,5826.88,0.012528203551486667
10946379,6037.0,327580.0,3605.23,0.01100564747542585
11923149,6037.0,176857.0,2325.47,0.013148871687295385
12941764,6037.0,246816.0,3378.03,0.013686430377285104
10871677,6037.0,206623.0,2601.94,0.012592692972224777
14656105,6059.0,212347.0,2576.3,0.012132500105958644
12541155,6037.0,83726.0,1067.98,0.012755655351981464
14257065,6059.0,137444.0,1929.18,0.014036116527458457
17251843,6111.0,201927.0,2484.44,0.01230365429090711
11499751,6037.0,119245.0,1562.52,0.013103442492347687
11603473,6037.0,142693.0,2007.31,0.014067333366037577
14637110,6059.0,758345.0,11279.92,0.014874390943436035
11958628,6037.0,46933.0,588.64,0.012542134532205484
12118682,6037.0,74714.0,1128.2,0.015100248949326767
11056104,6037.0,404060.0,4934.43,0.01221212196208484
11503172,6037.0,245311.0,2963.65,0.012081194891382775
11993956,6037.0,649169.0,8063.11,0.0124206639565352
11054736,6037.0,89640.0,1144.73,0.012770303435966086
12563708,6037.0,58143.0,881.04,0.015152984882101025
17190259,6111.0,343272.0,3905.64,0.011377683003565685
13857433,6059.0,280967.0,3401.88,0.012107756426911346
13839883,6059.0,364081.0,4409.28,0.012110711627357648
11206381,6037.0,174459.0,3028.09,0.0173570294453138
12482839,6037.0,300777.0,3912.97,0.013009538628286072
14054846,6059.0,199838.0,2418.9,0.012104304486634174
11780498,6037.0,841548.0,10473.87,0.012445956736870625
14697884,6059.0,465000.0,5458.3,0.011738279569892474
14648348,6059.0,201431.0,2090.28,0.010377151481152355
13989370,6059.0,84341.0,1195.28,0.014171992269477478
11143684,6037.0,446709.0,6046.06,0.013534672460147435
14482667,6059.0,600238.0,6131.32,0.010214814790133246
14286211,6059.0,122618.0,1694.88,0.013822440424733727
12682557,6037.0,667918.0,7664.37,0.011475016394228033
10924250,6037.0,352291.0,4275.09,0.012135109894944804
14174538,6059.0,311209.0,3729.48,0.011983843654907152
10885672,6037.0,85677.0,1104.82,0.012895176068256357
12484642,6037.0,444000.0,5548.73,0.012497139639639639
12739947,6037.0,529000.0,6692.25,0.012650756143667296
14472456,6059.0,901542.0,8724.3,0.009677086591639657
13844056,6059.0,63192.0,1049.18,0.016603051019116345
14053136,6059.0,414743.0,4729.32,0.011403013432414772
14175466,6059.0,709615.0,7957.48,0.011213799031869393
12846559,6037.0,710674.0,8752.83,0.012316237824938016
14617693,6059.0,311979.0,3493.7,0.011198510156132303
14744543,6059.0,340000.0,3823.9,0.011246764705882354
13837417,6059.0,357144.0,4253.64,0.01191015388750756
11514144,6037.0,1440000.0,15374.31,0.010676604166666666
14280254,6059.0,524529.0,6159.04,0.011742039048365295
14056849,6059.0,468642.0,5369.16,0.011456847657700334
14173678,6059.0,567655.0,6772.14,0.011930027921889175
12614763,6037.0,130161.0,1666.61,0.012804219389832592
11206504,6037.0,211886.0,3441.14,0.01624052556563435
10827194,6037.0,82375.0,1046.08,0.012698998482549316
11173415,6037.0,177000.0,2624.61,0.014828305084745764
14601052,6059.0,730040.0,11676.48,0.015994301682099612
12599517,6037.0,476000.0,5499.77,0.011554138655462187
11289836,6037.0,194600.0,3099.72,0.015928674203494347
11166665,6037.0,465989.0,6345.94,0.013618218455800458
13935796,6059.0,75126.0,1106.88,0.014733647472246628
10957128,6037.0,443008.0,4865.23,0.010982262171337763
17208785,6111.0,1389230.0,15101.52,0.010870424623712417
11612893,6037.0,780000.0,9412.54,0.012067358974358976
14100525,6059.0,192248.0,2341.24,0.01217822812200907
14598439,6059.0,360000.0,4541.08,0.01261411111111111
12792562,6037.0,240173.0,3042.5,0.012667951851373802
14606311,6059.0,357000.0,3772.9,0.010568347338935575
14606311,6059.0,357000.0,3772.9,0.010568347338935575
12594775,6037.0,286000.0,3648.21,0.012755979020979021
14224435,6059.0,551273.0,6043.06,0.010962009748346102
10867744,6037.0,397335.0,5138.06,0.012931304818352272
13909504,6059.0,426415.0,5043.06,0.011826647749258352
14684156,6059.0,215327.0,2312.08,0.010737529431980197
12462465,6037.0,203113.0,2486.26,0.012240772377937406
12265744,6037.0,304000.0,5363.37,0.01764266447368421
14675920,6059.0,89358.0,863.38,0.009662033617583204
14185262,6059.0,554788.0,6299.18,0.011354210977887049
11033823,6037.0,329298.0,4132.95,0.012550789862070222
12460690,6037.0,279000.0,3417.41,0.012248781362007168
12460440,6037.0,309098.0,3762.96,0.012174003066988463
12752649,6037.0,120877.0,1801.99,0.014907633379385657
14217005,6059.0,501586.0,5128.66,0.010224886659516015
12400532,6037.0,405844.0,4956.25,0.0122122046894866
12779665,6037.0,613000.0,7620.79,0.012431957585644372
11553985,6037.0,526237.0,6513.41,0.012377331886583421
14662312,6059.0,689693.0,10926.54,0.01584261403262031
11016174,6037.0,529000.0,6454.32,0.012200982986767485
12767272,6037.0,240155.0,3904.88,0.01625983219170952
10816453,6037.0,925806.0,11212.58,0.012111155036800367
14608048,6059.0,322471.0,3701.48,0.011478489538594169
14610291,6059.0,353326.0,4229.52,0.011970588068808977
12250438,6037.0,154349.0,1927.53,0.012488127555086201
13955211,6059.0,273372.0,3669.92,0.01342463749030625
13963357,6059.0,1074416.0,14637.34,0.013623531295140802
14195073,6059.0,921394.0,10782.16,0.011702008044332825
12760933,6037.0,386000.0,4926.37,0.01276261658031088
12760263,6037.0,61223.0,1053.05,0.01720023520572334
11635026,6037.0,368808.0,4610.33,0.012500623630723845
17110420,6111.0,162481.0,1777.18,0.010937771185554003
12768887,6037.0,250798.0,3397.37,0.013546240400641153
13951150,6059.0,304588.0,3878.36,0.012733134594928232
11561051,6037.0,664988.0,7941.79,0.011942756861777957
14603366,6059.0,444171.0,5017.82,0.011297045507248334
13941306,6059.0,792910.0,10122.52,0.012766291256258592
12268626,6037.0,258887.0,3524.58,0.013614356842946922
11278514,6037.0,183000.0,2883.66,0.015757704918032786
11792481,6037.0,430000.0,5186.7,0.012062093023255813
12756670,6037.0,144102.0,2039.16,0.014150809843027856
17059646,6111.0,565000.0,6760.46,0.01196541592920354
11013055,6037.0,302612.0,3847.18,0.01271324336113571
14610441,6059.0,519967.0,6105.7,0.011742475964820843
17225610,6111.0,501000.0,5614.88,0.011207345309381238
14066648,6059.0,933713.0,10429.92,0.011170370338637247
12592021,6037.0,460811.0,5789.85,0.012564478712530735
11202454,6037.0,213244.0,3183.54,0.014929095308660502
12671727,6037.0,456861.0,5226.35,0.011439693911277173
10969383,6037.0,260056.0,3303.91,0.012704609776355862
14252582,6059.0,162456.0,2079.52,0.012800512138671394
13867661,6059.0,81779.0,1156.38,0.014140304968268139
14650876,6059.0,107653.0,1399.7,0.013001960001114693
12023868,6037.0,1218072.0,14800.5,0.012150759561011172
17294157,6111.0,269273.0,3630.68,0.013483267910262076
11607620,6037.0,424285.0,5426.46,0.012789657895046961
12473881,6037.0,473134.0,5888.55,0.012445839867775303
12252417,6037.0,55040.0,932.45,0.016941315406976746
10750812,6037.0,529990.0,6365.65,0.012010886997867884
14690898,6059.0,237000.0,2986.2,0.0126
11646053,6037.0,682937.0,8168.11,0.011960268663141696
14650154,6059.0,267146.0,3213.82,0.012030200714216196
17290244,6111.0,1090401.0,11660.16,0.010693460479218196
12836830,6037.0,246454.0,3174.63,0.012881227328426401
12480709,6037.0,67166.0,1073.92,0.015989042074859305
12179610,6037.0,191531.0,2317.69,0.012100860957234076
11860038,6037.0,690000.0,8562.89,0.012409985507246375
17290862,6111.0,296033.0,3266.2,0.011033229403478666
11270112,6037.0,222638.0,3433.82,0.015423332944061662
14486421,6059.0,395169.0,3946.7,0.009987372491263231
11790968,6037.0,327118.0,4066.6,0.012431599606258292
12741391,6037.0,286985.0,3843.2,0.01339164067808422
11315088,6037.0,158313.0,2701.1,0.017061770037836436
11903394,6037.0,239253.0,2946.75,0.01231645998169302
10752668,6037.0,168986.0,2871.9,0.016994898985714792
12082610,6037.0,44435.0,510.56,0.011490041633847193
10818262,6037.0,670065.0,8868.14,0.013234745882862109
11566163,6037.0,797000.0,9536.04,0.011964918444165622
12273512,6037.0,176038.0,2533.45,0.014391495018121087
