parcelid,tax_value,value_pred_mean,value_pred_median,value_pred_lm,value_pred_glm,value_pred_lars,value_pred_lm2
14330679,349500.0,401186.33897808794,348476.0,334848.0,338280.52326414734,338334.82191639394,286480.0
10853175,540921.0,401186.33897808794,348476.0,356352.0,353871.95080755197,354439.357978355,382496.0
14224022,652208.0,401186.33897808794,348476.0,565248.0,565608.8501285866,566297.2286372143,524160.0
13896157,1269062.0,401186.33897808794,348476.0,532480.0,531638.2695904076,530990.7701246236,569792.0
11077637,673000.0,401186.33897808794,348476.0,714752.0,715015.5869008492,712605.5148673009,685792.0
12347945,151529.0,401186.33897808794,348476.0,401408.0,397584.76243787457,398221.75054991443,379200.0
14290469,994452.0,401186.33897808794,348476.0,763904.0,765635.4489517615,766017.8472501738,916480.0
14223815,575712.0,401186.33897808794,348476.0,632832.0,634543.3437629482,633741.6905295289,599968.0
11148765,553311.0,401186.33897808794,348476.0,326656.0,334479.2058296605,334670.77868876583,319648.0
11320181,191817.0,401186.33897808794,348476.0,172032.0,171867.5230245181,175043.88912586676,169408.0
14717194,103553.0,401186.33897808794,348476.0,294912.0,293111.53095435316,293557.2529154954,269760.0
11226661,130843.0,401186.33897808794,348476.0,180224.0,176808.33358013164,177696.32623824367,132864.0
13848749,26372.0,401186.33897808794,348476.0,328704.0,324346.508392842,324923.39188358054,249336.0
14101538,473000.0,401186.33897808794,348476.0,319488.0,316530.9040680357,316322.88527161995,276880.0
11085115,350000.0,401186.33897808794,348476.0,438272.0,435626.84187329106,435269.2882851499,443904.0
14626467,425389.0,401186.33897808794,348476.0,352256.0,350492.3863113943,350974.53128151037,296928.0
11109953,461938.0,401186.33897808794,348476.0,251904.0,249172.70005545864,250456.46517800933,279168.0
11185657,223528.0,401186.33897808794,348476.0,454656.0,460004.8871747482,459180.98419506045,339328.0
11565661,1285724.0,401186.33897808794,348476.0,457728.0,459177.37185007345,459842.65296698175,470960.0
14391464,322568.0,401186.33897808794,348476.0,534528.0,538384.263630369,538038.8867580318,581248.0
14215829,450599.0,401186.33897808794,348476.0,615424.0,613353.1904946079,612726.451092114,565824.0
11168970,338074.0,401186.33897808794,348476.0,353280.0,361263.8653251259,361308.11418483045,365568.0
13075659,242644.0,401186.33897808794,348476.0,222208.0,228095.59585636997,229018.94471280416,217856.0
14457981,616778.0,401186.33897808794,348476.0,579584.0,578894.6663158803,579722.3104675412,695872.0
14623220,303559.0,401186.33897808794,348476.0,435200.0,433372.60712821723,433543.77641182364,347488.0
10937971,205124.0,401186.33897808794,348476.0,339968.0,337722.70133421104,338679.89933510416,346080.0
10836733,456661.0,401186.33897808794,348476.0,302080.0,305028.3625576711,305255.471587432,333792.0
12917589,19616.0,401186.33897808794,348476.0,145408.0,146706.52635953669,143111.90634126967,160680.0
14726278,384000.0,401186.33897808794,348476.0,370688.0,367954.3786882325,368755.8245653955,347008.0
14257519,456884.0,401186.33897808794,348476.0,436224.0,437330.787530022,439307.18171658635,392640.0
17291004,535980.0,401186.33897808794,348476.0,637952.0,640526.8881903444,639217.9171675934,654368.0
14226768,533299.0,401186.33897808794,348476.0,431104.0,434108.7060263929,434242.06793992105,437248.0
11320204,362435.0,401186.33897808794,348476.0,454656.0,460953.338577418,463755.031957881,373248.0
11154978,153952.0,401186.33897808794,348476.0,157696.0,160790.6439091288,159200.9859444219,182208.0
14145585,494956.0,401186.33897808794,348476.0,570368.0,568664.3025729195,567898.473541287,529120.0
10792829,426359.0,401186.33897808794,348476.0,408576.0,406734.266936414,406966.40232158796,407488.0
14430922,130860.0,401186.33897808794,348476.0,659456.0,663886.8441992954,663879.2630603868,696576.0
